report_id,event_category,predicted_event_category,event_classification_confidence,risk_label,risk_score,report_timestamp,latitude,longitude,verification_status,evidence_sources,evidence_support_score,verification_reasons
6eba46cc-5339-4336-b340-3ffaffedfc4f,FOG,FOG,0.2688,MEDIUM_RISK,0.4,2026-12-28T06:45:00Z,26.8467,80.9462,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
f5fb733a-1378-40ed-a595-09a6d15600bc,STRONG_WIND,STRONG_WIND,0.4121,LOW_RISK,0.25,2026-07-22T17:00:00Z,13.0827,80.2707,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
3c32c7af-1bf3-4cc0-9e12-9750a8ca1ce3,FLOODING,FLOODING,0.1938,MEDIUM_RISK,0.4,2026-07-20T14:05:00Z,18.5206,73.8569,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
681cc9fe-4539-4a2c-9bf7-0838e733cd03,RAINFALL,RAINFALL,0.2979,MEDIUM_RISK,0.4,2026-07-23T09:00:00Z,18.5204,73.8567,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
68b114d3-31b2-4ed9-8bd4-aa049b50aa84,OTHER,OTHER,0.4073,LOW_RISK,0.25,2026-08-01T11:00:00Z,12.9716,77.5946,INSUFFICIENT_EVIDENCE,,,Event category 'OTHER' has no required or supporting variable defined.
00dd3079-89b0-4d1c-9f79-7eae39e1add0,FLOODING,FLOODING,0.2671,LOW_RISK,0.15,2026-07-14T10:35:00Z,23.1816,79.9865,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
a0b7cc87-a0d4-436f-865d-0753e0ad4d4a,FLOODING,FLOODING,0.2671,LOW_RISK,0.15,2026-07-14T10:36:00Z,23.1816,79.9865,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
dcb70a42-9d60-46cb-aeab-e37eb3eb3e27,HEATWAVE,HEATWAVE,0.3304,LOW_RISK,0.0,2026-05-20T13:00:00Z,21.1458,79.0882,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
d766749d-9b53-4791-bd1e-85eb3d61f22e,STRONG_WIND,STRONG_WIND,0.2507,HIGH_RISK,1.0,2026-07-18T08:15:00Z,25.5941,-200.0,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
06e44cd8-b7a6-40ee-9fa6-3086b3d70f9e,OTHER,,,MEDIUM_RISK,0.35,2026-07-19T16:00:00Z,26.8467,80.9462,INSUFFICIENT_EVIDENCE,,,Event category 'OTHER' has no required or supporting variable defined.
278267b8-bb64-47f2-b515-e459c5d7d8e6,FOG,FOG,0.2752,LOW_RISK,0.15,2026-12-25T06:20:00Z,22.654,88.4467,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
b06bc2f8-e675-40a3-9004-ce1f6343fdf5,DUST_STORM,DUST_STORM,0.4096,LOW_RISK,0.0,2026-06-10T17:30:00Z,26.2389,73.0243,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
19b8e7cb-9db5-4d3d-854c-04cee40e5015,THUNDERSTORM,THUNDERSTORM,0.2652,LOW_RISK,0.15,2026-07-21T19:20:00Z,17.3852,78.4868,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
9c9da62c-3c30-4257-b798-8e228526e5eb,RAINFALL,RAINFALL,0.304,LOW_RISK,0.0,2026-08-05T08:00:00Z,26.1445,91.7362,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
c161aaba-832e-4918-8b12-1dddf0262cd8,THUNDERSTORM,THUNDERSTORM,0.2605,LOW_RISK,0.15,2026-07-21T19:18:00Z,17.3855,78.4866,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
EDGE_RAIN_SUPPORTED,RAINFALL,,,,,2024-09-10T21:00:00Z,23.25,80.0,SUPPORTED,ERA5; Open-Meteo,1.0,"ERA5 (REAL): rainfall=20.8974 -> SUPPORTING_EVIDENCE | Open-Meteo (REAL): rainfall=1.8 -> SUPPORTING_EVIDENCE | SUPPORTED BY AVAILABLE WEATHER EVIDENCE, not proof the report is true."
EDGE_RAIN_CONFLICTING,RAINFALL,,,,,2024-01-15T09:00:00Z,23.25,80.0,CONFLICTING,ERA5; Open-Meteo,0.0,"ERA5 (REAL): rainfall=0.0 -> CONFLICTING_EVIDENCE | Open-Meteo (REAL): rainfall=0.0 -> CONFLICTING_EVIDENCE | CONFLICTING WITH AVAILABLE WEATHER EVIDENCE, not proof the report is false."
EDGE_HEATWAVE_SUPPORTED,HEATWAVE,,,,,2024-06-01T12:00:00Z,23.25,80.0,SUPPORTED,ERA5; Open-Meteo,1.0,"ERA5 (REAL): temperature=41.478 -> SUPPORTING_EVIDENCE | Open-Meteo (REAL): temperature=41.7 -> SUPPORTING_EVIDENCE | SUPPORTED BY AVAILABLE WEATHER EVIDENCE, not proof the report is true."
EDGE_STRONGWIND_SUPPORTED,STRONG_WIND,,,,,,23.25,80.0,INSUFFICIENT_EVIDENCE,,,Report has no timestamp -- cannot be temporally corroborated.
EDGE_MISSING_LOCATION,STRONG_WIND,,,,,2024-06-01T12:00:00Z,,,INSUFFICIENT_EVIDENCE,,,Report has no location -- cannot be spatially corroborated.
EDGE_FOG_AMBIGUOUS,FOG,,,,,2024-01-01T03:00:00Z,23.25,80.0,UNVERIFIED,ERA5; Open-Meteo,0.5,"Open-Meteo (REAL): humidity=80.0 -> AMBIGUOUS_EVIDENCE | Evidence is inconclusive: all matched sources fall in an ambiguous range. | This event category's evidence relies on a weak, indirect proxy variable (no directly diagnostic variable exists in this project's schema) -- treat this verdict with extra caution."
EDGE_FOG_SUPPORTED_WEAK,FOG,,,,,2024-01-01T00:00:00Z,23.25,80.0,SUPPORTED,ERA5; Open-Meteo,1.0,"Open-Meteo (REAL): humidity=96.0 -> SUPPORTING_EVIDENCE | SUPPORTED BY AVAILABLE WEATHER EVIDENCE, not proof the report is true. | This event category's evidence relies on a weak, indirect proxy variable (no directly diagnostic variable exists in this project's schema) -- treat this verdict with extra caution."
EDGE_OUTSIDE_EVIDENCE_WINDOW,RAINFALL,,,,,2026-07-14T10:32:00Z,23.1815,79.9864,INSUFFICIENT_EVIDENCE,,,No configured evidence source had a temporally/spatially matched record with the required variable available.
