report_id,source_type,source_name,timestamp,city,state,latitude,longitude,event_type,verification_status,source_reliability,is_suspicious,is_duplicate,semantic_similarity_score,semantic_duplicate_status,matched_report_id,similarity_method,predicted_event_category,event_classification_confidence,classification_method,risk_score,risk_label,risk_reasons,intelligence_processed_at
36efb80a-0b44-41f6-81c1-d364f124eb4e,SOCIAL_MEDIA,X-like-demo-feed,2026-12-28T06:45:00Z,Lucknow,Uttar Pradesh,26.8467,80.9462,FOG,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,FOG,0.2688,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2688) (+0.15),2026-08-31T07:46:16.949133+00:00
410794fb-f3ef-4ee1-a7c5-108379589fca,SOCIAL_MEDIA,X-like-demo-feed,2026-07-22T17:00:00Z,Chennai,Tamil Nadu,13.0827,80.2707,STRONG_WIND,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,STRONG_WIND,0.4121,tfidf_logreg_v1,0.25,LOW_RISK,low baseline source reliability (0.3) (+0.25),2026-08-31T07:46:16.949136+00:00
97cf3ca6-fc5b-422e-9fa6-4a76643f5115,SOCIAL_MEDIA,X-like-demo-feed,2026-07-20T14:05:00Z,Pune,Maharashtra,18.5206,73.8569,FLOODING,UNVERIFIED,0.3,False,False,0.0728,POSSIBLE_RELATED_EVENT,e7eb663d-63eb-432b-9a77-18c8bdb01756,tfidf_cosine_v1,FLOODING,0.1938,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.1938) (+0.15),2026-08-31T07:46:16.949141+00:00
cf746261-05bb-48f8-abc5-8eb1e638b2ee,SOCIAL_MEDIA,X-like-demo-feed,2026-07-23T09:00:00Z,Pune,Maharashtra,18.5204,73.8567,RAINFALL,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,RAINFALL,0.2979,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2979) (+0.15),2026-08-31T07:46:16.949146+00:00
42301fd8-ded6-4331-8238-ead5c506af5d,SOCIAL_MEDIA,X-like-demo-feed,2026-08-01T11:00:00Z,Bengaluru,Karnataka,12.9716,77.5946,OTHER,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,OTHER,0.4073,tfidf_logreg_v1,0.25,LOW_RISK,low baseline source reliability (0.3) (+0.25),2026-08-31T07:46:16.949149+00:00
0d15db51-78ca-4b34-9125-197f6e7efeaa,CITIZEN_REPORT,CitizenReportAppDemo,2026-07-14T10:35:00Z,Jabalpur,Madhya Pradesh,23.1816,79.9865,FLOODING,UNVERIFIED,0.4,False,False,0.1787,POSSIBLE_RELATED_EVENT,f543f2b0-c1aa-4e3a-bb3e-514124b5444d,tfidf_cosine_v1,FLOODING,0.2671,tfidf_logreg_v1,0.15,LOW_RISK,low event-classification confidence (0.2671) (+0.15),2026-08-31T07:46:16.949153+00:00
6677dbb9-aa1d-46b0-b71d-56c1872a4a9b,CITIZEN_REPORT,CitizenReportAppDemo,2026-07-14T10:36:00Z,Jabalpur,Madhya Pradesh,23.1816,79.9865,FLOODING,UNVERIFIED,0.4,False,True,1.0,EXACT_DUPLICATE,0d15db51-78ca-4b34-9125-197f6e7efeaa,tfidf_cosine_v1,FLOODING,0.2671,tfidf_logreg_v1,0.15,LOW_RISK,low event-classification confidence (0.2671) (+0.15),2026-08-31T07:46:16.949157+00:00
0282f217-faaf-4a86-a01f-4dcb5e0f412f,CITIZEN_REPORT,CitizenReportAppDemo,2026-05-20T13:00:00Z,Nagpur,Maharashtra,21.1458,79.0882,HEATWAVE,UNVERIFIED,0.4,False,False,0.0,UNRELATED,,tfidf_cosine_v1,HEATWAVE,0.3304,tfidf_logreg_v1,0.0,LOW_RISK,no risk signals triggered,2026-08-31T07:46:16.949161+00:00
966a6c8d-61f2-4baa-954d-d56d2ec3cbf5,CITIZEN_REPORT,CitizenReportAppDemo,2026-07-18T08:15:00Z,Patna,Bihar,25.5941,-200.0,STRONG_WIND,REJECTED,0.4,False,False,0.0,UNRELATED,,tfidf_cosine_v1,STRONG_WIND,0.2507,tfidf_logreg_v1,1.0,HIGH_RISK,structurally rejected during Phase 3A validation (invalid_longitude),2026-08-31T07:46:16.949164+00:00
72139c00-e040-4378-9afb-9b5d63dc2574,CITIZEN_REPORT,CitizenReportAppDemo,2026-07-19T16:00:00Z,Lucknow,Uttar Pradesh,26.8467,80.9462,OTHER,SUSPICIOUS,0.4,True,False,,,,tfidf_cosine_v1,,,keyword_heuristic_fallback,0.35,MEDIUM_RISK,flagged SUSPICIOUS during Phase 3A validation (+0.35),2026-08-31T07:46:16.949168+00:00
f61e6208-c9ff-4466-845c-a0e963faf10c,CITIZEN_REPORT,CitizenReportAppDemo,2026-12-25T06:20:00Z,Kolkata,West Bengal,22.654,88.4467,FOG,UNVERIFIED,0.4,False,False,0.0,UNRELATED,,tfidf_cosine_v1,FOG,0.2752,tfidf_logreg_v1,0.15,LOW_RISK,low event-classification confidence (0.2752) (+0.15),2026-08-31T07:46:16.949172+00:00
5f846032-e186-478b-9273-5c6e8b412b86,CITIZEN_REPORT,CitizenReportAppDemo,2026-06-10T17:30:00Z,Jodhpur,Rajasthan,26.2389,73.0243,DUST_STORM,UNVERIFIED,0.4,False,False,0.0,UNRELATED,,tfidf_cosine_v1,DUST_STORM,0.4096,tfidf_logreg_v1,0.0,LOW_RISK,no risk signals triggered,2026-08-31T07:46:16.949176+00:00
19b2b5f1-b10d-4d04-8d4b-ec4821e2b1c8,CITIZEN_REPORT,CitizenReportAppDemo,2026-07-21T19:20:00Z,Hyderabad,Telangana,17.3852,78.4868,THUNDERSTORM,UNVERIFIED,0.4,False,False,0.2226,POSSIBLE_RELATED_EVENT,2f88f7a9-958f-4f72-9a9b-a728b6336cdd,tfidf_cosine_v1,THUNDERSTORM,0.2652,tfidf_logreg_v1,0.15,LOW_RISK,low event-classification confidence (0.2652) (+0.15),2026-08-31T07:46:16.949179+00:00
3a68cb85-b7cd-4d19-9e95-6e840421227f,CITIZEN_REPORT,CitizenReportAppDemo,2026-08-05T08:00:00Z,Guwahati,Assam,26.1445,91.7362,RAINFALL,UNVERIFIED,0.4,False,False,0.0,UNRELATED,,tfidf_cosine_v1,RAINFALL,0.304,tfidf_logreg_v1,0.0,LOW_RISK,no risk signals triggered,2026-08-31T07:46:16.949182+00:00
a598e535-59eb-428a-bc9e-5799ca0f3199,CITIZEN_REPORT,CitizenReportAppDemo,2026-07-21T19:18:00Z,Hyderabad,Telangana,17.3855,78.4866,THUNDERSTORM,UNVERIFIED,0.4,False,False,0.1235,POSSIBLE_RELATED_EVENT,19b2b5f1-b10d-4d04-8d4b-ec4821e2b1c8,tfidf_cosine_v1,THUNDERSTORM,0.2605,tfidf_logreg_v1,0.15,LOW_RISK,low event-classification confidence (0.2605) (+0.15),2026-08-31T07:46:16.949185+00:00
